"city","notReligious","ownedHomes","selfEmployed","populationChange","populationDensity"
"Berlin",62.56279324,14.77972396,15.57973715,-2.45270567,3948
"Hamburg",48.85539781,23.25007563,12.85243705,-7.55535390,2366
"München",36.6365135,23.80842983,13.91549005,-15.26185189,4668
"Köln",34.2409718,26.02610299,13.36781342,-10.09172322,2619
"Frankfurt am Main",41.81785951,19.18427556,11.79778378,-11.98641168,2951
"Stuttgart",32.01649148,30.45424447,10.70011113,-7.01416300,3008
"Düsseldorf",33.09950391,22.68977715,14.14924001,-5.94336941,2816
"Dortmund",28.80361309,26.35246445,10.24915062,2.19625000,2088
"Essen",25.53284052,25.67406069,10.93361465,7.61194180,277
"Leipzig",79.58795396,11.08493226,12.55395826,-8.81275068,1885
"Bremen",39.68906577,38.36592193,10.26573217,-1.12025171,1712
"Dresden",76.20442651,13.68281399,11.97385621,-9.79248839,1656
"Hannover",41.30303676,23.56935082,9.963057031,-3.59908524,2607
"Nürnberg",27.68442151,29.05324199,10.27102991,-3.19290161,2736
"Duisburg",32.68221329,26.68303479,7.569868592,9.00106060,211
"Bochum",24.98980501,28.53462207,9.663428175,8.70313810,2504
"Wuppertal",33.39414185,30.60867096,10.39306716,9.60273790,2079
"Bielefeld",29.59082468,34.01795783,10.9069961,-4.21897986,1287
"Bonn",30.86661777,31.42505069,12.94028051,-8.33571198,226
"Münster",19.56761803,30.02800325,12.41759635,-16.32084996,1022
"Karlsruhe",29.02718876,28.5972381,11.26742217,-10.62338549,1774
"Mannheim",33.04286494,27.52768394,9.01396821,1.51448750,2109
"Augsburg",23.76165518,31.81431329,9.333428185,-10.30016691,195
"Wiesbaden",39.28101137,27.35448088,13.45037831,-5.76247746,1355
"Gelsenkirchen",26.87723179,22.07874497,8.586387435,12.80725740,2481
"Braunschweig",36.01025167,30.78892233,7.670501918,2.97138810,1308
"Chemnitz",82.17314256,14.50815845,9.40848506,18.33899740,1126
"Kiel",41.93586896,25.89923701,7.806943268,-0.30003329,2076
"Aachen",25.6816314,25.24885924,11.62011173,-1.63653741,1529
"Halle (Saale)",82.76460331,13.88775319,9.140698772,30.90539300,1755
"Magdeburg",83.00122144,15.98440546,9.617572416,18.27738490,1173
"Freiburg im Breisgau",28.08161335,27.41036071,12.11961764,-15.62062431,1479
"Krefeld",25.41525159,35.49583725,12.56407867,8.38396760,1634
"Lübeck",32.98109144,29.32716554,8.450845085,-0.69131989,101
"Oberhausen",23.10045359,31.8332705,9.149855908,6.11850150,2736
